subj	task_num	task	trial_num	scene	obj	obj_type	conf	rk_judg	rt_conf	rt_rkj
7	1	Search	1	Office	Markers	New (Lure)	1	New	4.513813400175422	n/a
7	1	Search	2	Office	Desk lamp	New (Lure)	4	Know	2.5236808001063764	3.6560435998253524
7	1	Search	3	Office	Ashtray	New (Lure)	2	New	5.005984100047499	n/a
7	1	Search	4	Bedroom B	Electric guitar	Distractor	4	Know	7.2337174999993294	1.271902599837631
7	1	Search	5	Bathroom	Pacifier	New (Lure)	1	New	1.0466801000293344	n/a
7	1	Search	6	Office B	Printer	Target	6	Remember	1.278724999865517	2.079872899921611
7	1	Search	7	Bathroom	Spray bottle	New (Lure)	2	New	1.9182367001194507	n/a
7	1	Search	8	Kitchen	Strawberries	New (Lure)	1	New	3.4266299998853356	n/a
7	1	Search	9	Kitchen A	Travel mug	Target	6	Remember	1.2688448999542743	1.4959139002021402
7	1	Search	10	Bedroom	Blanket	New (Lure)	1	New	1.054594499990344	n/a
7	1	Search	11	Office	Batteries	New (Lure)	1	New	0.07660149992443621	n/a
7	1	Search	12	Kitchen	Cookbook	New (Lure)	1	New	0.7777067001443356	n/a
7	1	Search	13	Office B	Globe	Target	6	Remember	0.8860428999178112	1.35194219998084
7	1	Search	14	Bedroom B	Trophy	Target	6	Remember	0.06473759980872273	1.0720017000567168
7	1	Search	15	Bedroom	Ironing board	New (Lure)	1	New	0.24306109989993274	n/a
7	1	Search	16	Bathroom B	Laundry basket	Target	5	Know	1.6590213999152184	4.223955000052229
7	1	Search	17	Kitchen A	Baby bottles	Target	6	Remember	0.968713500071317	2.263889699941501
7	1	Search	18	Living room B	Flowers	Target	6	Remember	0.8195090000517666	1.031900699948892
7	1	Search	19	Office	Glue stick	New (Lure)	3	New	1.377028499962762	n/a
7	1	Search	20	Bedroom	Eiffel tower	New (Lure)	1	New	2.5750352998729795	n/a
7	1	Search	21	Living room B	Crucifix	Distractor	6	Remember	0.3246800999622792	2.0079541001468897
7	1	Search	22	Bathroom B	Picture frames	Distractor	2	New	3.076356199802831	n/a
7	1	Search	23	Bedroom B	Headphones	Target	6	Remember	1.9975038999691606	0.9998689999338239
7	1	Search	24	Bedroom B	Horseshoe	Target	6	Remember	0.4485667999833822	0.791816100012511
7	1	Search	25	Bedroom B	Camera	Target	6	Remember	0.3013792000710964	0.783962800167501
7	1	Search	26	Bedroom B	Baseball bat	Target	6	Remember	2.089863199973479	0.6079218001104891
7	1	Search	27	Office B	Microphone	Distractor	1	New	0.30938019999302924	n/a
7	1	Search	28	Bathroom	Perfume	New (Lure)	1	New	1.2543637999333441	n/a
7	1	Search	29	Bathroom B	Hairbrush	Target	6	Remember	1.847118299920112	0.9359438999090344
7	1	Search	30	Bedroom B	Inhaler	Distractor	1	New	0.2054069999139756	n/a
7	1	Search	31	Bathroom	Necklace	New (Lure)	1	New	0.28414989984594285	n/a
7	1	Search	32	Bathroom B	Soap dispenser	Target	2	New	0.7132977000437677	n/a
7	1	Search	33	Kitchen A	Bowls	Distractor	3	New	0.49172349995933473	n/a
7	1	Search	34	Bedroom B	Dartboard	Target	6	Remember	0.31131300004199147	0.6078874999657273
7	1	Search	35	Office B	Keyboard	Target	3	New	2.5999731000047177	n/a
7	1	Search	36	Office B	Multi socket	Target	6	Remember	2.441678399918601	0.6558425999246538
7	1	Search	37	Office B	Ruler	Target	6	Remember	0.7337783998809755	2.3198736999183893
7	1	Search	38	Living room B	Metronome	Distractor	1	New	1.7496583999600261	n/a
7	1	Search	39	Kitchen	Chopsticks	New (Lure)	1	New	0.6720891001168638	n/a
7	1	Search	40	Bedroom	African art	New (Lure)	1	New	0.3733276000712067	n/a
7	1	Search	41	Living room	Candy box	New (Lure)	1	New	0.37474579992704093	n/a
7	1	Search	42	Office	Typewriter	New (Lure)	1	New	0.49208780005574226	n/a
7	1	Search	43	Living room B	Clef	Distractor	1	New	0.3646416999399662	n/a
7	1	Search	44	Living room B	Record player	Target	5	Know	0.6435883999802172	1.3838935000821948
7	1	Search	45	Bedroom	Mirror	New (Lure)	1	New	0.7492086000274867	n/a
7	1	Search	46	Kitchen	Serving cart	New (Lure)	1	New	0.9076153000351042	n/a
7	1	Search	47	Bedroom B	Smartwatch	Distractor	1	New	0.34866209980100393	n/a
7	1	Search	48	Living room B	Candle	Target	6	Remember	0.4585144000593573	1.0319280000403523
7	1	Search	49	Kitchen	Oven dishes	New (Lure)	1	New	3.3429934000596404	n/a
7	1	Search	50	Bedroom	Lighter	New (Lure)	1	New	1.3250029000919312	n/a
7	1	Search	51	Office B	Projector	Distractor	1	New	4.385465000057593	n/a
7	1	Search	52	Office B	CD	Target	6	Remember	0.35470689996145666	0.7679374001454562
7	1	Search	53	Living room B	Wall clock	Target	6	Remember	0.5869634000118822	0.5278797999490052
7	1	Search	54	Bedroom	Reading lights	New (Lure)	1	New	1.077317199902609	n/a
7	1	Search	55	Bathroom B	Curling iron	Target	5	Remember	1.0428742000367492	1.271904099965468
7	1	Search	56	Bathroom	Bucket	New (Lure)	1	New	0.3203773000277579	n/a
7	1	Search	57	Living room	Wreath	New (Lure)	1	New	0.5143396998755634	n/a
7	1	Search	58	Bathroom	Bodywash	New (Lure)	1	New	0.33028570003807545	n/a
7	1	Search	59	Office	Briefcase	New (Lure)	1	New	1.444435599958524	n/a
7	1	Search	60	Office	Decorative bird	New (Lure)	1	New	0.3685264000669122	n/a
7	1	Search	61	Bathroom	Round box	New (Lure)	1	New	0.2794711000751704	n/a
7	1	Search	62	Bathroom B	Plunger	Target	6	Remember	4.147763800108805	0.8478971999138594
7	1	Search	63	Kitchen	Stovetop	New (Lure)	5	Remember	1.3249317998997867	2.0557286001276225
7	1	Search	64	Kitchen A	Bread	Target	1	New	2.236339299939573	n/a
7	1	Search	65	Living room	Ferrero Rocher glass	New (Lure)	1	New	0.7477355999872088	n/a
7	1	Search	66	Office B	Sandwich	Target	5	Know	4.741041600005701	1.2639168000314385
7	1	Search	67	Bathroom B	Deodorant spray	Target	6	Remember	0.45409719995222986	1.8558936000335962
7	1	Search	68	Office B	Magnifying glass	Distractor	2	New	1.3666431000456214	n/a
7	1	Search	69	Living room B	Cigarettes	Target	6	Remember	0.3556483997963369	0.9038843000307679
7	1	Search	70	Bedroom	Pine cones	New (Lure)	1	New	1.872516999952495	n/a
7	1	Search	71	Bathroom B	Razor	Target	1	New	0.696906799916178	n/a
7	1	Search	72	Bathroom	Golden branches	New (Lure)	1	New	0.4819999001920223	n/a
7	1	Search	73	Living room B	Radio	Target	5	Know	3.573622800176963	0.8399680000729859
7	1	Search	74	Bathroom B	Pottery jars	Distractor	1	New	0.630226300098002	n/a
7	1	Search	75	Office B	Computer screen	Target	6	Know	1.0860532000660896	1.8239094000309706
7	1	Search	76	Bedroom	Teddy bear	New (Lure)	1	New	0.5102440998889506	n/a
7	1	Search	77	Living room	VR headset	New (Lure)	1	New	0.6019715999718755	n/a
7	1	Search	78	Living room	Bells	New (Lure)	1	New	0.4930093998555094	n/a
7	1	Search	79	Bedroom	Pipe	New (Lure)	1	New	0.29467099998146296	n/a
7	1	Search	80	Bathroom B	Manicure set	Target	6	Remember	1.956004299921915	0.3918080998118967
7	1	Search	81	Bedroom B	Apple	Distractor	1	New	0.5496676999609917	n/a
7	1	Search	82	Bedroom	Decorative bull	New (Lure)	1	New	0.31954200007021427	n/a
7	1	Search	83	Living room B	Laptop	Target	4	Know	2.193500399822369	0.7439342001453042
7	1	Search	84	Office B	Parcel	Target	6	Remember	0.796691499883309	0.6238772999495268
7	1	Search	85	Kitchen	Blender	New (Lure)	1	New	0.33898830018006265	n/a
7	1	Search	86	Bathroom	Shaving gel	New (Lure)	1	New	0.6525677999015898	n/a
7	1	Search	87	Bedroom B	Cereal	Target	1	New	0.5516362998168916	n/a
7	1	Search	88	Living room	Cocktail	New (Lure)	1	New	0.6379021999891847	n/a
7	1	Search	89	Living room	Presents	New (Lure)	1	New	0.38484190008603036	n/a
7	1	Search	90	Kitchen A	Child's drawing	Distractor	1	New	0.6993222001474351	n/a
7	1	Search	91	Kitchen	Vacuum cleaner	New (Lure)	1	New	1.21440410008654	n/a
7	1	Search	92	Kitchen A	Deep fryer	Distractor	1	New	0.6767859999090433	n/a
7	1	Search	93	Bathroom B	Towel stack	Target	1	New	0.5319137000478804	n/a
7	1	Search	94	Office	World map	New (Lure)	1	New	0.48183419997803867	n/a
7	1	Search	95	Living room	Toy ball	New (Lure)	1	New	0.7116356999613345	n/a
7	1	Search	96	Kitchen	Champagne	New (Lure)	1	New	0.285803500097245	n/a
7	1	Search	97	Living room	Advent calendar	New (Lure)	1	New	0.5692791000474244	n/a
7	1	Search	98	Bedroom B	Statue	Distractor	1	New	0.27572369994595647	n/a
7	1	Search	99	Kitchen A	Paper towels	Target	3	New	1.2068145999219269	n/a
7	1	Search	100	Living room B	Banjo	Distractor	2	New	2.140772100072354	n/a
7	1	Search	101	Bathroom B	Hourglass	Distractor	1	New	0.6232777000404894	n/a
7	1	Search	102	Bathroom	Jewlery box	New (Lure)	1	New	0.05879919999279082	n/a
7	1	Search	103	Kitchen	Pineapple	New (Lure)	1	New	0.480195099953562	n/a
7	1	Search	104	Office	Drive	New (Lure)	1	New	0.39767590002156794	n/a
7	1	Search	105	Kitchen A	Pizza leftovers	Target	6	Remember	0.888247299939394	1.0078399998601526
7	1	Search	106	Living room	Candles	New (Lure)	1	New	4.172233399935067	n/a
7	1	Search	107	Office	Shredder	New (Lure)	1	New	0.2777817999012768	n/a
7	1	Search	108	Kitchen	Kitchen tools	New (Lure)	1	New	0.22601219988428056	n/a
7	1	Search	109	Office	Cell phone	New (Lure)	1	New	0.3812814000993967	n/a
7	1	Search	110	Office	Wastepaper basket	New (Lure)	5	Know	1.1950863997917622	0.7918504001572728
7	1	Search	111	Bathroom B	Stones	Distractor	5	Know	0.49169200006872416	1.2877923999913037
7	1	Search	112	Kitchen A	Dish rack	Target	4	Know	1.2777349001262337	1.2239319002255797
7	1	Search	113	Kitchen A	Mangoes	Distractor	1	New	0.23953830008395016	n/a
7	1	Search	114	Bathroom	Spotlight	New (Lure)	1	New	0.3715864000841975	n/a
7	1	Search	115	Kitchen A	Cheese grater	Target	6	Remember	0.4121978001203388	0.5999000000301749
7	1	Search	116	Office B	Computer mouse	Distractor	1	New	0.4195135000627488	n/a
7	1	Search	117	Bathroom	Cleaning agent	New (Lure)	1	New	0.6989873999264091	n/a
7	1	Search	118	Kitchen	Lucky cat	New (Lure)	1	New	0.5979531998746097	n/a
7	1	Search	119	Living room B	Cactus	Target	5	Know	1.5804165999870747	1.719909500097856
7	1	Search	120	Bedroom	Decorative heads	New (Lure)	1	New	0.7909508999437094	n/a
7	1	Search	121	Living room	Shoes	New (Lure)	1	New	0.33002900006249547	n/a
7	1	Search	122	Bedroom	Tie	New (Lure)	1	New	0.28090210002847016	n/a
7	1	Search	123	Bedroom	Glasses	New (Lure)	1	New	0.3719262999948114	n/a
7	1	Search	124	Office B	Letter holder	Distractor	1	New	0.5443484999705106	n/a
7	1	Search	125	Bathroom B	Towel dryer	Distractor	1	New	0.7393668000586331	n/a
7	1	Search	126	Kitchen	Kitchen towel	New (Lure)	1	New	0.22854549996554852	n/a
7	1	Search	127	Living room	Rocking horse	New (Lure)	1	New	0.5321575000416487	n/a
7	1	Search	128	Kitchen A	Sponge	Target	6	Remember	1.1033473000861704	1.0559288000222296
7	1	Search	129	Living room	Tennis racket	New (Lure)	1	New	4.132853199960664	n/a
7	1	Search	130	Living room	Christmas stocking	New (Lure)	1	New	0.5063644000329077	n/a
7	1	Search	131	Bedroom	Playmat	New (Lure)	1	New	0.2913121001329273	n/a
7	1	Search	132	Kitchen A	Pastries	Distractor	1	New	0.5790404002182186	n/a
7	1	Search	133	Living room B	Mug	Target	5	Remember	1.082016099942848	1.4799571000039577
7	1	Search	134	Bathroom B	Pills	Target	6	Remember	0.6098676999099553	0.9599039000459015
7	1	Search	135	Kitchen	Garlic	New (Lure)	1	New	0.3162630000151694	n/a
7	1	Search	136	Bathroom	Detergent	New (Lure)	1	New	0.6827807000372559	n/a
7	1	Search	137	Bedroom B	Football	Target	6	Remember	3.834757999982685	1.271920199971646
7	1	Search	138	Bathroom	Trashcan	New (Lure)	1	New	0.2516617001965642	n/a
7	1	Search	139	Office	Hard drive	New (Lure)	1	New	0.7437034000176936	n/a
7	1	Search	140	Bedroom B	Drinking bottle	Target	6	Remember	1.9463535000104457	0.5279675999190658
7	1	Search	141	Living room B	Lavalamp	Distractor	6	Remember	0.40626759990118444	0.7039385999087244
7	1	Search	142	Living room	Wheeled walker	New (Lure)	1	New	0.4906655000522733	n/a
7	1	Search	143	Kitchen A	Spatula	Target	1	New	0.379153799964115	n/a
7	1	Search	144	Office	Stapler	New (Lure)	1	New	0.329195800004527	n/a
7	1	Search	145	Bedroom B	Dustpan	Target	6	Remember	1.0561821998562664	1.0399219000246376
7	1	Search	146	Living room B	Painting	Target	4	Know	1.1570933000184596	0.7599365999922156
7	1	Search	147	Kitchen A	Pan	Target	6	Remember	0.33164240000769496	0.7120332000777125
7	1	Search	148	Office B	Paper racks	Target	6	Remember	0.17370319995097816	0.9357934000436217
7	1	Search	149	Bathroom	Shaving mirror	New (Lure)	1	New	1.4059410998597741	n/a
7	1	Search	150	Kitchen	Tangerine	New (Lure)	1	New	0.6860501000192016	n/a
7	2	Memorization	1	Bathroom A	Bath rug	Distractor	1	New	0.9536447999998927	n/a
7	2	Memorization	2	Office	Umbrella	New (Lure)	1	New	0.6557849000673741	n/a
7	2	Memorization	3	Living room A	Vases	Target	1	New	0.28197699994780123	n/a
7	2	Memorization	4	Bathroom A	Wall lamp	Distractor	1	New	0.3573414001148194	n/a
7	2	Memorization	5	Kitchen B	Toaster	Distractor	1	New	0.2014713000971824	n/a
7	2	Memorization	6	Bedroom A	Lipstick	Target	1	New	0.23579840012826025	n/a
7	2	Memorization	7	Living room A	Boxes	Distractor	1	New	0.2939448000397533	n/a
7	2	Memorization	8	Office A	Tape dispenser	Target	6	Remember	0.363839800003916	0.8878130000084639
7	2	Memorization	9	Office A	Hole puncher	Target	3	New	0.490704600000754	n/a
7	2	Memorization	10	Kitchen	Cutting board	New (Lure)	1	New	0.09873609989881516	n/a
7	2	Memorization	11	Bathroom	Room spray	New (Lure)	1	New	2.0725718000903726	n/a
7	2	Memorization	12	Office	Snow globe	New (Lure)	1	New	0.03703209990635514	n/a
7	2	Memorization	13	Bathroom	Chest	New (Lure)	1	New	0.3685191997792572	n/a
7	2	Memorization	14	Bedroom	Sombrero	New (Lure)	1	New	0.3050836001057178	n/a
7	2	Memorization	15	Bathroom A	Toilet paper	Target	5	Know	2.7035743999294937	1.1278260999824852
7	2	Memorization	16	Bedroom	Tealight	New (Lure)	1	New	0.4195330000948161	n/a
7	2	Memorization	17	Bathroom	Buddha	New (Lure)	1	New	0.3869676999747753	n/a
7	2	Memorization	18	Kitchen	Jugs	New (Lure)	1	New	0.6116816999856383	n/a
7	2	Memorization	19	Bedroom A	Decorative owl	Distractor	1	New	0.2535504999104887	n/a
7	2	Memorization	20	Bedroom A	Clothes hanger	Target	6	Remember	1.6675287000834942	0.5439311000518501
7	2	Memorization	21	Living room	Candy cane	New (Lure)	1	New	0.43565279990434647	n/a
7	2	Memorization	22	Bathroom A	Hair dryer	Target	3	New	0.7544772000983357	n/a
7	2	Memorization	23	Bedroom	Bags	New (Lure)	1	New	0.5611974999774247	n/a
