subj	task_num	task	trial_num	scene	obj	obj_type	conf	rk_judg	rt_conf	rt_rkj
14	1	Memorization	1	Office	Umbrella	New (Lure)	2	New	6.69914359995164	n/a
14	1	Memorization	2	Office	Decorative bird	New (Lure)	1	New	0.012124599888920784	n/a
14	1	Memorization	3	Office	Staple remover	New (Lure)	1	New	3.0498273000121117	n/a
14	1	Memorization	4	Kitchen	Almonds	New (Lure)	1	New	0.6730541998986155	n/a
14	1	Memorization	5	Office B	Sandwich	Target	6	Remember	2.333632200025022	3.056002700002864
14	1	Memorization	6	Bedroom	Cage	New (Lure)	1	New	2.1314924000762403	n/a
14	1	Memorization	7	Office B	Computer mouse	Distractor	1	New	1.227271000156179	n/a
14	1	Memorization	8	Living room	Piece of cake	New (Lure)	1	New	0.9854669999331236	n/a
14	1	Memorization	9	Bedroom A	Lamp	Target	5	Know	2.1189538999460638	2.5759925001766533
14	1	Memorization	10	Office	Orbit art	New (Lure)	1	New	3.146944500040263	n/a
14	1	Memorization	11	Kitchen	Oven dishes	New (Lure)	2	New	2.57885399996303	n/a
14	1	Memorization	12	Bedroom A	MP3 player	Distractor	2	New	2.292162099853158	n/a
14	1	Memorization	13	Living room	Ornaments	New (Lure)	1	New	2.532884400105104	n/a
14	1	Memorization	14	Bathroom	Bodywash	New (Lure)	2	New	4.770301100099459	n/a
14	1	Memorization	15	Office B	Printer	Target	3	New	2.888794699916616	n/a
14	1	Memorization	16	Living room A	Aquarium	Target	6	Remember	2.3608343999367207	1.5839128999505192
14	1	Memorization	17	Bedroom A	Jewelry	Distractor	1	New	1.5472171001601964	n/a
14	1	Memorization	18	Bathroom	Detergent	New (Lure)	1	New	1.415256599895656	n/a
14	1	Memorization	19	Kitchen	Kitchen tools	New (Lure)	1	New	1.1915028002113104	n/a
14	1	Memorization	20	Kitchen B	Soup	Target	6	Remember	1.128232799936086	1.6798155999276787
14	1	Memorization	21	Bedroom	Blanket	New (Lure)	2	New	1.7492577000521123	n/a
14	1	Memorization	22	Kitchen B	Microwave	Target	6	Remember	1.901231599971652	2.5678894999437034
