subj	task_num	task	trial_num	scene	obj	obj_type	conf	rk_judg	rt_conf	rt_rkj
25	1	Search	1	Living room A	Walnuts	Distractor	1	New	3.121090400032699	n/a
25	1	Search	2	Living room A	Tablet computer	Target	6	Remember	1.2727675000205636	3.999831300228834
25	1	Search	3	Bedroom B	Dartboard	Target	6	Remember	2.788090200163424	1.9278378998860717
25	1	Search	4	Office	Car key	New (Lure)	1	New	1.578854599967599	n/a
25	1	Search	5	Kitchen A	Travel mug	Target	6	Remember	2.3424936002120376	3.1439364003017545
25	1	Search	6	Bathroom	Shaving mirror	New (Lure)	1	New	2.052176200784743	n/a
25	1	Search	7	Bathroom B	Laundry basket	Target	5	Know	8.313412299379706	1.40797929931432
25	1	Search	8	Living room	Piece of cake	New (Lure)	1	New	1.1608712002635002	n/a
25	1	Search	9	Living room	Tricycle	New (Lure)	1	New	1.140360500663519	n/a
25	1	Search	10	Bathroom	Round box	New (Lure)	2	New	2.8869390999898314	n/a
25	1	Search	11	Bathroom B	Picture frames	Distractor	3	New	2.908843499608338	n/a
25	1	Search	12	Kitchen A	Pizza leftovers	Target	1	New	1.5878112995997071	n/a
25	1	Search	13	Bedroom	Wheelchair	New (Lure)	1	New	0.974732200615108	n/a
25	1	Search	14	Office B	Paper racks	Target	6	Remember	1.0182307995855808	1.9599471995607018
25	1	Search	15	Bathroom B	Towel stack	Target	6	Remember	2.8173511000350118	1.575823100283742
25	1	Search	16	Office B	Projector	Distractor	6	Remember	1.4867958007380366	1.1439135000109673
25	1	Search	17	Bedroom B	Camera	Target	6	Remember	1.2112953001633286	1.1918243002146482
25	1	Search	18	Bathroom	Room spray	New (Lure)	1	New	3.7538754995912313	n/a
25	1	Search	19	Kitchen	Pineapple	New (Lure)	1	New	0.7381726000458002	n/a
25	1	Search	20	Bedroom B	Inhaler	Distractor	6	Remember	1.4377688001841307	1.663871000520885
25	1	Search	21	Kitchen A	Pastries	Distractor	1	New	1.376087300479412	n/a
25	1	Search	22	Kitchen	Tangerine	New (Lure)	1	New	0.9556040000170469	n/a
25	1	Search	23	Bedroom B	Baseball bat	Target	6	Remember	1.200569299980998	1.36793589964509
25	1	Search	24	Living room	Binoculars	New (Lure)	2	New	1.692654099315405	n/a
25	1	Search	25	Office B	Ruler	Target	6	Remember	1.0401176000013947	1.391907600685954
25	1	Search	26	Office	Correction fluid	New (Lure)	1	New	2.10702439956367	n/a
25	1	Search	27	Living room	Wheeled walker	New (Lure)	1	New	0.9407858001068234	n/a
25	1	Search	28	Bedroom B	Trophy	Target	6	Remember	1.233427400700748	1.4958870997652411
25	1	Search	29	Kitchen	Cutting board	New (Lure)	5	Remember	2.076035499572754	4.167938499711454
25	1	Search	30	Bedroom	Sombrero	New (Lure)	1	New	3.36304600071162	n/a
25	1	Search	31	Office	Shredder	New (Lure)	2	New	4.525821600109339	n/a
25	1	Search	32	Bedroom	Cage	New (Lure)	1	New	1.0289822993800044	n/a
25	1	Search	33	Office B	CD	Target	6	Remember	1.05193189997226	0.856029599905014
25	1	Search	34	Office B	Computer mouse	Distractor	4	Know	5.043387399986386	1.3039678996428847
25	1	Search	35	Bathroom B	Pottery jars	Distractor	5	Know	2.582847200334072	0.5598734999075532
25	1	Search	36	Bathroom B	Deodorant spray	Target	6	Remember	0.9108282998204231	0.5759800998494029
25	1	Search	37	Kitchen	Electric kettle	New (Lure)	3	New	2.0054285004734993	n/a
25	1	Search	38	Kitchen	Bowl	New (Lure)	1	New	0.8598405001685023	n/a
25	1	Search	39	Bathroom B	Soap dispenser	Target	6	Remember	1.0114067001268268	2.6719501996412873
25	1	Search	40	Bathroom B	Curling iron	Target	6	Remember	0.9606670998036861	0.8238242994993925
25	1	Search	41	Bathroom B	Stones	Distractor	5	Know	2.1807939996942878	0.5919530000537634
25	1	Search	42	Kitchen A	Mangoes	Distractor	1	New	0.8349218005314469	n/a
25	1	Search	43	Bedroom B	Horseshoe	Target	3	New	1.4292492996901274	n/a
25	1	Search	44	Bedroom B	Drinking bottle	Target	6	Remember	0.8828026996925473	1.5678266994655132
25	1	Search	45	Bedroom	Lighter	New (Lure)	2	New	2.9753363002091646	n/a
25	1	Search	46	Bathroom B	Plunger	Target	5	Know	3.4522476997226477	0.8078968999907374
25	1	Search	47	Kitchen A	Bread	Target	6	Remember	2.4883938999846578	0.9999085003510118
25	1	Search	48	Bedroom	Telescope	New (Lure)	1	New	1.3701752992346883	n/a
25	1	Search	49	Bedroom	Decorative wood	New (Lure)	2	New	1.5276453997939825	n/a
25	1	Search	50	Kitchen A	Sponge	Target	4	Know	4.786253100261092	0.9358422001823783
25	1	Search	51	Kitchen	Pasta jar	New (Lure)	2	New	1.2106119003146887	n/a
25	1	Search	52	Office B	Letter holder	Distractor	6	Remember	1.0425923997536302	0.8638526005670428
25	1	Search	53	Living room	Advent calendar	New (Lure)	1	New	1.7972267996519804	n/a
25	1	Search	54	Living room	VR headset	New (Lure)	1	New	0.561493999324739	n/a
25	1	Search	55	Office B	Keyboard	Target	2	New	2.185496600344777	n/a
25	1	Search	56	Bedroom	Wooden squirrel	New (Lure)	1	New	0.35667330026626587	n/a
25	1	Search	57	Office	Hard drive	New (Lure)	1	New	0.48147770017385483	n/a
25	1	Search	58	Living room A	Remote control	Target	6	Remember	3.9573817998170853	1.111961799673736
25	1	Search	59	Office B	Globe	Target	6	Remember	1.14795340038836	0.6318159000948071
25	1	Search	60	Office	Orbit art	New (Lure)	1	New	1.0059607001021504	n/a
25	1	Search	61	Living room A	Nachos	Target	6	Remember	2.4824149003252387	1.2480069994926453
25	1	Search	62	Living room	Baby stroller	New (Lure)	1	New	0.8834049999713898	n/a
25	1	Search	63	Kitchen	Ginger	New (Lure)	1	New	1.0093596000224352	n/a
25	1	Search	64	Bathroom B	Hourglass	Distractor	6	Remember	0.48886429984122515	1.1999156000092626
25	1	Search	65	Bathroom B	Towel dryer	Distractor	5	Know	6.713895900174975	0.5918909991160035
25	1	Search	66	Living room A	Pot plant	Target	4	Know	2.585348599590361	0.6398967998102307
25	1	Search	67	Office B	Printer	Target	6	Remember	1.141304399818182	1.0319155007600784
25	1	Search	68	Bedroom	Teddy bear	New (Lure)	1	New	4.138746399432421	n/a
25	1	Search	69	Bathroom B	Hairbrush	Target	6	Remember	0.8859764002263546	0.5840221997350454
25	1	Search	70	Living room A	Fan	Target	6	Remember	0.8599090995267034	0.6080805007368326
25	1	Search	71	Bedroom B	Smartwatch	Distractor	6	Remember	0.8482638001441956	0.503876999951899
25	1	Search	72	Living room A	Rubik's Cube	Distractor	1	New	0.9161718003451824	n/a
25	1	Search	73	Bedroom	Toy train	New (Lure)	1	New	0.8214238993823528	n/a
25	1	Search	74	Living room A	Aquarium	Target	6	Remember	1.3715044995769858	0.6558912005275488
25	1	Search	75	Bathroom	Spray bottle	New (Lure)	2	New	0.9124993002042174	n/a
25	1	Search	76	Bedroom	Toy blocks	New (Lure)	1	New	0.6786975003778934	n/a
25	1	Search	77	Bedroom B	Statue	Distractor	1	New	0.40189599990844727	n/a
25	1	Search	78	Kitchen	Mortar	New (Lure)	2	New	0.584722800180316	n/a
25	1	Search	79	Bathroom B	Razor	Target	4	Know	3.9827853003516793	0.3759815003722906
25	1	Search	80	Kitchen	Cookbook	New (Lure)	1	New	0.9667566996067762	n/a
25	1	Search	81	Office B	Multi socket	Target	6	Remember	1.0059987995773554	0.47189390007406473
25	1	Search	82	Office	Flash drive	New (Lure)	2	New	1.6964474003762007	n/a
25	1	Search	83	Bathroom	Pocket mirror	New (Lure)	1	New	1.2366669001057744	n/a
25	1	Search	84	Office B	Magnifying glass	Distractor	6	Remember	1.3963318997994065	0.5279572997242212
25	1	Search	85	Office	Wastepaper basket	New (Lure)	2	New	1.3248672001063824	n/a
25	1	Search	86	Kitchen A	Spatula	Target	6	Remember	1.0880452999845147	0.5038534002378583
25	1	Search	87	Office	Decorative bird	New (Lure)	1	New	1.0047026006504893	n/a
25	1	Search	88	Bathroom	Trashcan	New (Lure)	2	New	3.7374585000798106	n/a
25	1	Search	89	Bathroom	Bodywash	New (Lure)	1	New	0.5415572999045253	n/a
25	1	Search	90	Living room A	Vases	Target	4	Know	1.1080853007733822	0.5358286006376147
25	1	Search	91	Office B	Computer screen	Target	6	Remember	3.341547199524939	0.583853299729526
25	1	Search	92	Living room	Cocktail	New (Lure)	1	New	0.39639819972217083	n/a
