subj	task_num	task	trial_num	scene	obj	timeout	rt
8	1	Memorization	1	Bathroom B	Hairbrush	n/a	1.4994615807061824
8	1	Memorization	2	Bathroom B	Pills	n/a	0.5972235942084213
8	1	Memorization	3	Bedroom A	Handbag	n/a	0.592618449497907
8	1	Memorization	4	Office A	Scissors	n/a	1.0309766451289595
8	1	Memorization	5	Living room B	Mug	n/a	1.0596108529820878
8	1	Memorization	6	Living room B	Wall clock	n/a	0.8292135528955424
8	1	Memorization	7	Bedroom A	Hand fan	n/a	1.0058620181117086
8	1	Memorization	8	Living room B	Record player	n/a	0.5539257927040229
8	1	Memorization	9	Office A	Calendar	n/a	1.325268945994392
8	1	Memorization	10	Kitchen B	Microwave	n/a	0.5703331834289468
8	1	Memorization	11	Bedroom A	Clothes hanger	n/a	1.0617146000441289
8	1	Memorization	12	Office A	Tape dispenser	n/a	0.8918356179924373
8	1	Memorization	13	Living room B	Cactus	n/a	1.243753449224039
8	1	Memorization	14	Office A	Hole puncher	n/a	1.2236722771833977
8	1	Memorization	15	Office A	Candy bar	n/a	1.3930296447727517
8	1	Memorization	16	Bathroom B	Plunger	n/a	0.5270801858121047
8	1	Memorization	17	Bedroom A	Lamp	n/a	1.0852170532552783
8	1	Memorization	18	Bedroom A	Lipstick	n/a	0.5996001664331639
8	1	Memorization	19	Living room B	Laptop	n/a	1.2278351437105026
8	1	Memorization	20	Office A	Telephone	n/a	0.776845365333151
8	1	Memorization	21	Living room B	Radio	n/a	1.4713338808958722
8	1	Memorization	22	Living room B	Cigarettes	n/a	1.2315543327711644
8	1	Memorization	23	Bathroom B	Soap dispenser	n/a	1.3018174798263524
8	1	Memorization	24	Office A	Encyclopedia	n/a	1.1587027784333355
8	1	Memorization	25	Kitchen B	Pots	n/a	1.4879435934014045
8	1	Memorization	26	Bedroom A	Basketball	n/a	0.9282639411707648
8	1	Memorization	27	Bathroom B	Razor	n/a	0.9029357866780144
8	1	Memorization	28	Kitchen B	Coffee maker	n/a	0.6946685812781794
8	1	Memorization	29	Bathroom B	Deodorant spray	n/a	1.4380473804315386
8	1	Memorization	30	Bedroom A	Sunglasses	n/a	0.7543964177899144
