subj	task_num	task	trial_num	scene	obj	timeout	rt
10	1	Memorization	1	Bedroom A	Alarm clock	n/a	0.5287556594038361
10	1	Memorization	2	Bedroom A	Clothes hanger	n/a	0.5381827249327599
10	1	Memorization	3	Office B	Computer screen	n/a	1.0492079827184606
10	1	Memorization	4	Kitchen B	Broom	n/a	1.3694883836476173
10	1	Memorization	5	Bathroom A	Toothbrushes	n/a	0.8631205702118514
10	1	Memorization	6	Kitchen B	Soup	n/a	0.6574519593445824
10	1	Memorization	7	Living room B	Painting	n/a	1.4634981121311545
10	1	Memorization	8	Living room B	Laptop	n/a	1.1378688514261335
10	1	Memorization	9	Kitchen B	Microwave	n/a	0.7388216322427356
10	1	Memorization	10	Kitchen B	Corkscrew	n/a	1.129015999681775
10	1	Memorization	11	Living room B	Record player	n/a	1.4789051424903141
10	1	Memorization	12	Bedroom A	Lipstick	n/a	1.466763678267161
10	1	Memorization	13	Living room B	Cigarettes	n/a	0.7931720091487605
10	1	Memorization	14	Kitchen B	Buns	n/a	1.042689173435535
10	1	Memorization	15	Bathroom A	Slippers	n/a	0.6810197049843135
10	1	Memorization	16	Bathroom A	Toilet paper	n/a	0.7317689855092135
10	1	Memorization	17	Office B	Parcel	n/a	1.232845737301174
10	1	Memorization	18	Kitchen B	Pots	n/a	0.6143428388978898
10	1	Memorization	19	Kitchen B	Coffee maker	n/a	0.7960200905712194
10	1	Memorization	20	Bathroom A	Toothpaste	n/a	1.02325742667019
10	1	Memorization	21	Bedroom A	Hand fan	n/a	0.6331225960557813
10	1	Memorization	22	Office B	Multi socket	n/a	1.4138207313881543
10	1	Memorization	23	Living room B	Wall clock	n/a	0.9548552848565066
10	1	Memorization	24	Office B	Ruler	n/a	0.9713562889727121
10	1	Memorization	25	Bedroom A	Lamp	n/a	1.0717485703544984
10	1	Memorization	26	Bathroom A	Toilet brush	n/a	1.4080483473937073
10	1	Memorization	27	Bedroom A	Pillow	n/a	0.8778929960022749
10	1	Memorization	28	Bathroom A	Soap bar	n/a	1.1913052053602686
10	1	Memorization	29	Bedroom A	Basketball	n/a	0.6030002846316622
10	1	Memorization	30	Living room B	Mug	n/a	1.223521707242776
10	1	Memorization	31	Living room B	Candle	n/a	1.0196430754575103
10	1	Memorization	32	Kitchen B	Turkey	n/a	1.0749502422587365
10	1	Memorization	33	Office B	CD	n/a	1.1458974945736458
10	1	Memorization	34	Bathroom A	Shampoo	n/a	0.7648812323137709
10	1	Memorization	35	Kitchen B	Pepper mill	n/a	0.6757720811906143
10	1	Memorization	36	Bedroom A	Sunglasses	n/a	1.2009873491593979
10	1	Memorization	37	Bathroom A	Hair dryer	n/a	1.4795252416202258
10	1	Memorization	38	Bedroom A	Handbag	n/a	0.6791195434663255
10	1	Memorization	39	Bathroom A	Comb	n/a	1.1980942442786642
10	1	Memorization	40	Office B	Globe	n/a	0.769446720354721
10	1	Memorization	41	Kitchen B	Kitchen herbs	n/a	1.1307335600035957
10	1	Memorization	42	Living room B	Radio	n/a	1.091133486605989
10	1	Memorization	43	Living room B	Flowers	n/a	1.4838541834585808
10	1	Memorization	44	Bedroom A	Poster	n/a	1.4832227323620946
10	1	Memorization	45	Office B	Sandwich	n/a	0.7896006178036551
10	1	Memorization	46	Office B	Printer	n/a	1.0890751417237525
10	1	Memorization	47	Bathroom A	Rubber duck	n/a	0.8174421845068189
10	1	Memorization	48	Living room B	Cactus	n/a	0.8046401756066206
10	1	Memorization	49	Office B	Paper racks	n/a	0.9603818903196222
10	1	Memorization	50	Office B	Keyboard	n/a	1.4155837674585476
10	2	Search	1	Kitchen A	Dish rack	0	1.2991545998957008
10	2	Search	2	Bathroom B	Towel stack	0	1.1080361001659185
10	2	Search	3	Bedroom B	Cereal	0	0.9660275999922305
10	2	Search	4	Kitchen A	Cheese grater	0	3.0514320000074804
10	2	Search	5	Living room A	Vases	0	3.6076827999204397
10	2	Search	6	Living room A	Television	0	0.6236161000560969
10	2	Search	7	Kitchen A	Baby bottles	0	1.6600999000947922
10	2	Search	8	Bedroom B	Baseball bat	0	7.271228000055999
10	2	Search	9	Office A	Scissors	0	3.2257435000501573
10	2	Search	10	Living room A	Books	0	2.7084699000697583
10	2	Search	11	Kitchen A	Bread	0	1.1517837001010776
10	2	Search	12	Office A	Calculator	0	1.3665100000798702
10	2	Search	13	Living room A	Fan	0	4.9328074001241475
10	2	Search	14	Bathroom B	Soap dispenser	0	0.9336552999448031
10	2	Search	15	Living room A	Remote control	0	0.8754410000983626
10	2	Search	16	Kitchen A	Spatula	0	0.5364661999046803
10	2	Search	17	Living room A	Pot plant	0	0.5398236999753863
10	2	Search	18	Bedroom B	Trophy	0	0.760782899800688
10	2	Search	19	Bathroom B	Plunger	0	1.174582899780944
10	2	Search	20	Office A	Tape dispenser	0	1.33334739995189
10	2	Search	21	Kitchen A	Paper towels	0	1.5858090999536216
10	2	Search	22	Living room A	Loudspeaker	0	0.5414990000426769
10	2	Search	23	Office A	Donuts	0	1.3235233998857439
10	2	Search	24	Bathroom B	Razor	0	1.5594291999004781
10	2	Search	25	Living room A	Tablet computer	1	n/a
10	2	Search	26	Bathroom B	Laundry basket	0	0.5755553001072258
10	2	Search	27	Bedroom B	Horseshoe	0	3.1453879000619054
10	2	Search	28	Bathroom B	Pills	0	2.779631800018251
10	2	Search	29	Bedroom B	Drinking bottle	0	1.8854233999736607
10	2	Search	30	Bedroom B	Headphones	0	2.622159800026566
10	2	Search	31	Office A	Calendar	0	1.868459700141102
10	2	Search	32	Bedroom B	Camera	0	1.7164797999430448
10	2	Search	33	Bedroom B	Football	0	0.4219721001572907
10	2	Search	34	Kitchen A	Pizza leftovers	0	1.2512133000418544
10	2	Search	35	Office A	Hole puncher	0	1.224344199988991
10	2	Search	36	Bedroom B	Dartboard	0	0.64413580019027
10	2	Search	37	Office A	Candy bar	0	2.2206283998675644
10	2	Search	38	Kitchen A	Sponge	0	1.3354474999941885
10	2	Search	39	Bathroom B	Deodorant spray	0	3.12340799998492
10	2	Search	40	Office A	Newspaper	0	1.7251774000469595
10	2	Search	41	Office A	Telephone	0	1.0447452999651432
10	2	Search	42	Office A	Encyclopedia	0	1.6522500000428408
10	2	Search	43	Bedroom B	Dustpan	0	0.7980658998712897
10	2	Search	44	Bathroom B	Curling iron	0	2.471776399994269
10	2	Search	45	Living room A	Aquarium	0	1.0335881998762488
10	2	Search	46	Bathroom B	Manicure set	0	3.218214299995452
10	2	Search	47	Kitchen A	Pan	0	1.4613040999975055
10	2	Search	48	Kitchen A	Travel mug	0	2.116672200150788
10	2	Search	49	Bathroom B	Hairbrush	0	0.5380828999914229
10	2	Search	50	Living room A	Nachos	0	1.3193994998000562
