subj	task_num	task	trial_num	scene	obj	timeout	rt
5	1	Search	1	Living room A	Loudspeaker	0	1.6109417999996367
5	1	Search	2	Bathroom B	Deodorant spray	0	5.000630300000921
5	1	Search	3	Kitchen B	Buns	0	2.0513577999990957
5	1	Search	4	Office A	Telephone	0	3.2036193999992975
5	1	Search	5	Living room A	Nachos	0	0.7652548000005481
5	1	Search	6	Living room A	Aquarium	0	7.3231572000004235
5	1	Search	7	Bedroom A	Poster	0	0.6547654000005423
5	1	Search	8	Bathroom B	Hairbrush	0	6.027450999999928
5	1	Search	9	Office A	Calendar	0	4.681308299999728
5	1	Search	10	Bathroom B	Laundry basket	0	0.9930868999999802
5	1	Search	11	Bathroom B	Soap dispenser	0	1.007128700000976
5	1	Search	12	Bedroom A	Pillow	0	0.6939197000010608
5	1	Search	13	Bedroom A	Lipstick	0	1.0950331999993068
5	1	Search	14	Kitchen B	Pots	0	1.4074151999993774
5	1	Search	15	Bedroom A	Lamp	0	1.392943100001503
5	1	Search	16	Bathroom B	Towel stack	0	1.4559278000015183
5	1	Search	17	Living room A	Television	0	0.7967728000003262
5	1	Search	18	Kitchen B	Corkscrew	0	0.8487022999997862
5	1	Search	19	Office A	Hole puncher	0	0.6628356999990501
5	1	Search	20	Kitchen B	Broom	0	0.5056531999998697
5	1	Search	21	Office A	Encyclopedia	0	1.3401450000001205
5	1	Search	22	Office A	Calculator	0	0.46979520000058983
5	1	Search	23	Bedroom A	Hand fan	0	1.2184835000007297
5	1	Search	24	Bedroom A	Clothes hanger	0	1.9875787000000855
5	1	Search	25	Living room A	Remote control	0	0.8298820999989402
5	1	Search	26	Living room A	Pot plant	0	0.6137754999999743
5	1	Search	27	Kitchen B	Coffee maker	0	2.2790411000005406
5	1	Search	28	Bathroom B	Pills	0	6.30952569999863
5	1	Search	29	Living room A	Vases	0	3.9065890999991097
5	1	Search	30	Kitchen B	Microwave	0	0.6211478000004718
5	1	Search	31	Bedroom A	Sunglasses	0	0.5602323999992223
5	1	Search	32	Bathroom B	Plunger	0	0.47772669999903883
5	1	Search	33	Office A	Newspaper	0	0.6517054000014468
5	1	Search	34	Bedroom A	Handbag	0	1.1127099000004819
5	1	Search	35	Kitchen B	Kitchen herbs	0	2.1473284999992757
5	1	Search	36	Bedroom A	Alarm clock	0	1.4604330000001937
5	1	Search	37	Bedroom A	Basketball	0	1.436746999999741
5	1	Search	38	Living room A	Fan	0	2.5897793999993155
5	1	Search	39	Kitchen B	Turkey	0	0.7548259000013786
5	1	Search	40	Living room A	Books	0	1.237766799999008
5	1	Search	41	Office A	Donuts	0	0.7270768000016687
5	1	Search	42	Bathroom B	Manicure set	0	0.9853000000002794
5	1	Search	43	Living room A	Tablet computer	0	2.277448999999251
5	1	Search	44	Kitchen B	Soup	0	0.5001515999992989
5	1	Search	45	Office A	Candy bar	0	1.87538609999865
5	1	Search	46	Bathroom B	Razor	0	3.0456604000009975
5	1	Search	47	Office A	Scissors	0	0.8374729999995907
5	1	Search	48	Kitchen B	Pepper mill	0	1.7160987999995996
5	1	Search	49	Office A	Tape dispenser	0	2.3165883000001486
5	1	Search	50	Bathroom B	Curling iron	0	1.4516535000002477
5	2	Memorization	1	Bathroom A	Soap bar	n/a	1.3068051412267339
5	2	Memorization	2	Kitchen A	Travel mug	n/a	0.6460374181622968
5	2	Memorization	3	Kitchen A	Pizza leftovers	n/a	0.6941977178814086
5	2	Memorization	4	Living room B	Wall clock	n/a	0.8123682291175899
5	2	Memorization	5	Office B	Globe	n/a	1.486646597098734
5	2	Memorization	6	Living room B	Laptop	n/a	0.8749977409698155
5	2	Memorization	7	Office B	Ruler	n/a	1.386794023708207
5	2	Memorization	8	Bathroom A	Comb	n/a	1.0921892400517688
5	2	Memorization	9	Office B	Parcel	n/a	1.2200352474623193
5	2	Memorization	10	Kitchen A	Cheese grater	n/a	0.6007031011247522
5	2	Memorization	11	Living room B	Cigarettes	n/a	1.266537419420081
5	2	Memorization	12	Office B	Sandwich	n/a	0.9769418287455288
5	2	Memorization	13	Bedroom B	Cereal	n/a	0.8795040152860303
5	2	Memorization	14	Living room B	Cactus	n/a	1.0061154165707422
5	2	Memorization	15	Bedroom B	Horseshoe	n/a	1.451090034374757
5	2	Memorization	16	Living room B	Record player	n/a	1.0804870637200736
5	2	Memorization	17	Living room B	Painting	n/a	1.3039415429449615
5	2	Memorization	18	Bathroom A	Toilet brush	n/a	0.5313026377381984
5	2	Memorization	19	Bedroom B	Trophy	n/a	1.0442493402153366
5	2	Memorization	20	Kitchen A	Sponge	n/a	0.5227445110896375
5	2	Memorization	21	Kitchen A	Paper towels	n/a	0.8435769671837497
5	2	Memorization	22	Kitchen A	Bread	n/a	0.6433828382815995
5	2	Memorization	23	Bedroom B	Headphones	n/a	0.637913639477951
5	2	Memorization	24	Living room B	Flowers	n/a	1.3856845626314738
5	2	Memorization	25	Bathroom A	Hair dryer	n/a	0.5355250517877757
