subj	task_num	task	trial_num	scene	obj	obj_type	conf	rk_judg	rt_conf	rt_rkj
3	1	Search	1	Living room B	Banjo	Distractor	1	New	1.8502376000396907	n/a
3	1	Search	2	Office A	Newspaper	Target	6	Remember	2.786140499985777	2.399977199966088
3	1	Search	3	Kitchen	Tea	New (Lure)	1	New	1.6742130999919027	n/a
3	1	Search	4	Kitchen B	Cutlery	Distractor	1	New	1.4921694999793544	n/a
3	1	Search	5	Office	Gong	New (Lure)	1	New	1.6546603000024334	n/a
3	1	Search	6	Bedroom	Teddy bear	New (Lure)	1	New	1.6069654999300838	n/a
3	1	Search	7	Bedroom B	Smartwatch	Distractor	4	Know	5.443097900017165	2.1358526999829337
3	1	Search	8	Kitchen B	Banana	Distractor	1	New	0.8216204999480397	n/a
3	1	Search	9	Living room	Ferrero Rocher glass	New (Lure)	1	New	1.0030244999798015	n/a
3	1	Search	10	Kitchen	Jugs	New (Lure)	1	New	0.6921148999826983	n/a
3	1	Search	11	Office	Flash drive	New (Lure)	1	New	1.044960799976252	n/a
3	1	Search	12	Office A	Flamingoes	Distractor	1	New	0.6751043000258505	n/a
3	1	Search	13	Office A	Fruit bowl	Distractor	1	New	0.7244204999879003	n/a
3	1	Search	14	Kitchen B	Turkey	Target	6	Remember	0.9632078999420628	2.2799702999182045
3	1	Search	15	Office	Ashtray	New (Lure)	1	New	1.1749305000994354	n/a
3	1	Search	16	Bedroom	Decorative cat	New (Lure)	1	New	0.530869200010784	n/a
3	1	Search	17	Bathroom B	Manicure set	Target	6	Remember	1.3457527999999002	1.3279932000441477
3	1	Search	18	Living room B	Crucifix	Distractor	6	Remember	2.548015300068073	2.487888199975714
3	1	Search	19	Bedroom B	Football	Target	5	Remember	1.9714898000238463	1.4559114000294358
3	1	Search	20	Office	Decorative bird	New (Lure)	1	New	1.850489899981767	n/a
3	1	Search	21	Bathroom B	Towel stack	Target	6	Remember	0.3161281000357121	4.775870200013742
