subj	task_num	task	trial_num	scene	obj	obj_type	conf	rk_judg	rt_conf	rt_rkj
21	1	Search	1	Kitchen A	Cheese grater	Target	6	Remember	4.068024599924684	4.319969399832189
21	1	Search	2	Kitchen	Kitchen towel	New (Lure)	2	New	6.124937900342047	n/a
21	1	Search	3	Bathroom	Sanitizer dispenser	New (Lure)	1	New	5.299713900312781	n/a
21	1	Search	4	Bedroom	Ironing board	New (Lure)	3	New	2.550696900114417	n/a
21	1	Search	5	Bedroom	Toy blocks	New (Lure)	2	New	1.1164227994158864	n/a
21	1	Search	6	Kitchen A	Travel mug	Target	6	Remember	3.101338299922645	4.047972800210118
21	1	Search	7	Bathroom	Casket	New (Lure)	2	New	8.595404800027609	n/a
21	1	Search	8	Living room	Christmas stocking	New (Lure)	2	New	1.6690015001222491	n/a
21	1	Search	9	Kitchen A	Bread	Target	6	Remember	2.291558999568224	3.543860800564289
21	1	Search	10	Bedroom A	Decorative owl	Distractor	4	Know	2.2658396996557713	2.9279036996886134
21	1	Search	11	Bedroom A	Lipstick	Target	6	Remember	1.549295499920845	3.663939299993217
21	1	Search	12	Living room A	Pot plant	Target	6	Remember	1.3898628996685147	1.6318776002153754
21	1	Search	13	Kitchen A	Paper towels	Target	4	Know	2.0836704997345805	1.8878747997805476
21	1	Search	14	Bathroom B	Razor	Target	6	Remember	4.339145199395716	1.9358486998826265
21	1	Search	15	Bedroom A	Sunglasses	Target	5	Remember	2.3245560992509127	5.9518508007749915
21	1	Search	16	Living room A	Aquarium	Target	5	Remember	2.4680526005104184	2.3358760001137853
21	1	Search	17	Living room A	Nachos	Target	6	Remember	0.7742141000926495	1.2719066999852657
21	1	Search	18	Kitchen	Kitchen scales	New (Lure)	3	New	2.939972000196576	n/a
21	1	Search	19	Kitchen	Chopsticks	New (Lure)	2	New	4.4925437001511455	n/a
21	1	Search	20	Bedroom	Playmat	New (Lure)	2	New	2.6461425004526973	n/a
21	1	Search	21	Kitchen	Tea	New (Lure)	2	New	5.447437199763954	n/a
21	1	Search	22	Living room A	Remote control	Target	5	Know	1.7407802995294333	1.5839125998318195
21	1	Search	23	Bathroom	Mask	New (Lure)	3	New	6.576007700525224	n/a
21	1	Search	24	Bathroom	Buddha	New (Lure)	3	New	3.356398900039494	n/a
21	1	Search	25	Bedroom A	MP3 player	Distractor	2	New	4.434423100203276	n/a
21	1	Search	26	Bedroom	Telescope	New (Lure)	4	Know	6.043787200003862	1.0878763999789953
21	1	Search	27	Office	Desk lamp	New (Lure)	4	Know	0.7832256993278861	1.143894400447607
21	1	Search	28	Kitchen	Jugs	New (Lure)	2	New	1.4968004003167152	n/a
21	1	Search	29	Living room A	Rubik's Cube	Distractor	2	New	2.4114155005663633	n/a
21	1	Search	30	Office	Ashtray	New (Lure)	1	New	2.2878803992643952	n/a
21	1	Search	31	Kitchen A	Mangoes	Distractor	1	New	2.250737600028515	n/a
21	1	Search	32	Living room	Ferrero Rocher glass	New (Lure)	1	New	1.3162217000499368	n/a
21	1	Search	33	Kitchen	Tangerine	New (Lure)	1	New	1.2038484998047352	n/a
21	1	Search	34	Bathroom B	Laundry basket	Target	6	Remember	1.2772762002423406	3.9198925998061895
21	1	Search	35	Kitchen A	Baby bottles	Target	6	Remember	1.1006068997085094	1.4159135995432734
21	1	Search	36	Bedroom	DVD	New (Lure)	3	New	1.6370905004441738	n/a
21	1	Search	37	Bedroom A	Tissue box	Distractor	3	New	4.180627200752497	n/a
21	1	Search	38	Kitchen	Blender	New (Lure)	3	New	3.3160816999152303	n/a
21	1	Search	39	Office B	CD	Target	6	Remember	0.30235529970377684	1.8319146996363997
21	1	Search	40	Bedroom A	Poster	Target	6	Remember	0.8029495999217033	2.0959652001038194
21	1	Search	41	Living room A	Vases	Target	6	Remember	1.0760701997205615	1.415913000702858
21	1	Search	42	Bedroom	Sombrero	New (Lure)	1	New	4.811495599336922	n/a
21	1	Search	43	Bathroom B	Soap dispenser	Target	6	Remember	0.8935579005628824	1.4157961001619697
21	1	Search	44	Bedroom	Reading lights	New (Lure)	4	Know	6.382250200025737	2.2318719998002052
21	1	Search	45	Living room A	Books	Target	6	Remember	0.9579290999099612	1.0719421999529004
21	1	Search	46	Living room A	Fan	Target	6	Remember	3.9190434999763966	2.6797546995803714
21	1	Search	47	Living room	Candy cane	New (Lure)	3	New	4.7714971993118525	n/a
