subj	task_num	task	trial_num	scene	obj	timeout	rt
20	1	Memorization	1	Kitchen B	Pots	n/a	1.4088588021705046
20	1	Memorization	2	Bedroom A	Basketball	n/a	0.8327114025446913
20	1	Memorization	3	Office A	Calculator	n/a	1.1091189000036432
20	1	Memorization	4	Bedroom A	Lipstick	n/a	1.1632876425471967
20	1	Memorization	5	Office A	Scissors	n/a	0.6899829415274954
20	1	Memorization	6	Living room A	Loudspeaker	n/a	0.6733308040872393
20	1	Memorization	7	Bedroom A	Lamp	n/a	1.0395325088211507
20	1	Memorization	8	Kitchen B	Kitchen herbs	n/a	0.6326717878450446
20	1	Memorization	9	Bedroom A	Handbag	n/a	1.1385214607170169
20	1	Memorization	10	Living room A	Remote control	n/a	1.4582636296219282
20	1	Memorization	11	Office A	Encyclopedia	n/a	0.9758883515180725
20	1	Memorization	12	Kitchen B	Corkscrew	n/a	1.3345487515457068
20	1	Memorization	13	Kitchen B	Microwave	n/a	1.3884234291562843
20	1	Memorization	14	Bathroom A	Hair dryer	n/a	0.6794000084549232
20	1	Memorization	15	Living room A	Fan	n/a	1.4985499094238142
20	1	Memorization	16	Bedroom A	Poster	n/a	1.0350456236223133
20	1	Memorization	17	Office A	Tape dispenser	n/a	0.5000764791044461
20	1	Memorization	18	Office A	Candy bar	n/a	1.3468579010065493
20	1	Memorization	19	Living room A	Pot plant	n/a	1.4444623580054476
20	1	Memorization	20	Kitchen B	Buns	n/a	0.8730828676490319
20	1	Memorization	21	Bathroom A	Comb	n/a	1.2854885908853837
20	1	Memorization	22	Living room A	Tablet computer	n/a	0.9492356888981551
20	1	Memorization	23	Bedroom A	Hand fan	n/a	0.8968465539433778
20	1	Memorization	24	Office A	Calendar	n/a	1.1457084819881083
20	1	Memorization	25	Office A	Donuts	n/a	0.5272457475647264
20	1	Memorization	26	Kitchen B	Coffee maker	n/a	1.2795622993723004
20	1	Memorization	27	Bathroom A	Toilet brush	n/a	1.316754731460851
20	1	Memorization	28	Kitchen B	Soup	n/a	0.7800880399261574
