subj	task_num	task	trial_num	scene	obj	timeout	rt
21	1	Search	1	Kitchen A	Baby bottles	0	1.717557399533689
21	1	Search	2	Office B	Ruler	0	1.2257887003943324
21	1	Search	3	Bedroom A	Pillow	0	0.9465065002441406
21	1	Search	4	Office B	Computer screen	0	0.6962124994024634
21	1	Search	5	Bathroom B	Hairbrush	0	0.8853001995012164
21	1	Search	6	Kitchen A	Sponge	0	2.3631274001672864
21	1	Search	7	Bathroom B	Towel stack	0	1.4701568000018597
21	1	Search	8	Bathroom B	Pills	0	4.504060399718583
21	1	Search	9	Bedroom A	Hand fan	0	1.6109662000089884
21	1	Search	10	Living room A	Nachos	0	0.8195364996790886
21	1	Search	11	Bathroom B	Manicure set	0	2.4796930998563766
21	1	Search	12	Kitchen A	Cheese grater	0	6.08547249995172
21	1	Search	13	Office B	Keyboard	0	1.3155372999608517
21	1	Search	14	Kitchen A	Dish rack	0	6.531068999320269
21	1	Search	15	Bedroom A	Handbag	0	0.8835797002539039
21	1	Search	16	Living room A	Remote control	0	0.7265191003680229
21	1	Search	17	Bedroom A	Poster	0	0.6721084006130695
21	1	Search	18	Office B	Sandwich	0	0.7969794003292918
21	1	Search	19	Living room A	Books	0	1.971534300595522
21	1	Search	20	Kitchen A	Paper towels	0	1.0936535000801086
21	1	Search	21	Kitchen A	Spatula	0	0.6390305999666452
21	1	Search	22	Living room A	Tablet computer	0	2.020846700295806
21	1	Search	23	Office B	Parcel	0	1.9648314993828535
21	1	Search	24	Bathroom B	Plunger	0	0.7496154000982642
21	1	Search	25	Kitchen A	Bread	0	0.8293829998001456
21	1	Search	26	Bathroom B	Curling iron	0	2.0058521004393697
21	1	Search	27	Bedroom A	Clothes hanger	0	1.220630600117147
21	1	Search	28	Bedroom A	Sunglasses	0	0.6768474001437426
21	1	Search	29	Living room A	Aquarium	1	n/a
21	1	Search	30	Bathroom B	Soap dispenser	0	1.4584264997392893
21	1	Search	31	Living room A	Fan	0	3.488434599712491
21	1	Search	32	Bathroom B	Razor	0	1.0765854995697737
21	1	Search	33	Kitchen A	Pizza leftovers	0	1.326783100143075
21	1	Search	34	Office B	Globe	0	0.7396531999111176
21	1	Search	35	Bedroom A	Alarm clock	0	1.109089500270784
21	1	Search	36	Office B	Printer	0	1.1292920000851154
21	1	Search	37	Bedroom A	Lipstick	0	1.3482232000678778
21	1	Search	38	Living room A	Pot plant	0	0.6132041001692414
21	1	Search	39	Office B	Multi socket	0	1.2732552997767925
21	1	Search	40	Bedroom A	Basketball	0	1.381019700318575
21	1	Search	41	Bedroom A	Lamp	0	1.2485568998381495
21	1	Search	42	Kitchen A	Pan	0	0.6122263008728623
21	1	Search	43	Office B	CD	0	1.2996963001787663
21	1	Search	44	Living room A	Loudspeaker	0	0.6891970001161098
21	1	Search	45	Bathroom B	Laundry basket	0	0.6062961993739009
21	1	Search	46	Living room A	Television	0	0.6204048004001379
21	1	Search	47	Bathroom B	Deodorant spray	0	1.497784299775958
21	1	Search	48	Living room A	Vases	0	1.1991884000599384
21	1	Search	49	Office B	Paper racks	0	0.9106451002880931
21	1	Search	50	Kitchen A	Travel mug	0	1.4024398000910878
21	2	Memorization	1	Office A	Scissors	n/a	0.7911701139470446
21	2	Memorization	2	Office A	Encyclopedia	n/a	0.803429890507865
21	2	Memorization	3	Bedroom B	Drinking bottle	n/a	0.6799166227229454
21	2	Memorization	4	Kitchen B	Coffee maker	n/a	0.5237131024863048
21	2	Memorization	5	Kitchen B	Corkscrew	n/a	1.4583900680393937
21	2	Memorization	6	Bedroom B	Camera	n/a	0.858003888071595
21	2	Memorization	7	Living room B	Laptop	n/a	1.295760534493068
21	2	Memorization	8	Office A	Tape dispenser	n/a	0.6212217425454353
21	2	Memorization	9	Bathroom A	Toothbrushes	n/a	1.2590732392653905
21	2	Memorization	10	Bathroom A	Slippers	n/a	1.238101515795488
21	2	Memorization	11	Kitchen B	Turkey	n/a	0.7293764897246044
21	2	Memorization	12	Kitchen B	Buns	n/a	1.437467750092154
21	2	Memorization	13	Bedroom B	Trophy	n/a	0.6601019228760733
21	2	Memorization	14	Living room B	Radio	n/a	1.271098935559956
21	2	Memorization	15	Office A	Hole puncher	n/a	1.353034814212255
21	2	Memorization	16	Kitchen B	Soup	n/a	0.7898946944082167
21	2	Memorization	17	Bedroom B	Baseball bat	n/a	1.2363063344075211
21	2	Memorization	18	Kitchen B	Broom	n/a	1.1946666844237477
21	2	Memorization	19	Bathroom A	Hair dryer	n/a	1.3796351321943652
21	2	Memorization	20	Kitchen B	Pots	n/a	0.9064536879160455
21	2	Memorization	21	Bathroom A	Toilet paper	n/a	1.122392596074285
21	2	Memorization	22	Kitchen B	Kitchen herbs	n/a	0.5819075324394488
21	2	Memorization	23	Bathroom A	Rubber duck	n/a	1.349117528024658
21	2	Memorization	24	Bedroom B	Dartboard	n/a	0.5237874302477715
21	2	Memorization	25	Bedroom B	Headphones	n/a	1.340207645724922
21	2	Memorization	26	Living room B	Cigarettes	n/a	1.3852131349665573
21	2	Memorization	27	Living room B	Wall clock	n/a	1.2687054321234794
21	2	Memorization	28	Living room B	Record player	n/a	1.0271329024075282
21	2	Memorization	29	Bedroom B	Horseshoe	n/a	0.852044748636466
21	2	Memorization	30	Living room B	Flowers	n/a	0.6113942721765836
21	2	Memorization	31	Kitchen B	Microwave	n/a	0.646977926641773
21	2	Memorization	32	Bedroom B	Dustpan	n/a	1.4021535433736858
21	2	Memorization	33	Living room B	Painting	n/a	0.9114061794728638
21	2	Memorization	34	Office A	Calculator	n/a	0.907984909515592
21	2	Memorization	35	Bathroom A	Comb	n/a	0.6149532883055009
21	2	Memorization	36	Office A	Calendar	n/a	1.233203829894081
21	2	Memorization	37	Bathroom A	Soap bar	n/a	0.7901841358555289
21	2	Memorization	38	Bathroom A	Toilet brush	n/a	1.0355437660388662
21	2	Memorization	39	Office A	Candy bar	n/a	0.7104208610226704
21	2	Memorization	40	Living room B	Candle	n/a	0.9072598961486587
21	2	Memorization	41	Office A	Newspaper	n/a	1.1707433912649514
21	2	Memorization	42	Living room B	Cactus	n/a	1.2958692643434566
21	2	Memorization	43	Office A	Telephone	n/a	0.5971107488792986
21	2	Memorization	44	Bedroom B	Cereal	n/a	1.2656397343379209
21	2	Memorization	45	Living room B	Mug	n/a	1.101634095268836
21	2	Memorization	46	Bathroom A	Toothpaste	n/a	0.9713165380379051
21	2	Memorization	47	Bedroom B	Football	n/a	0.6022089208611473
21	2	Memorization	48	Kitchen B	Pepper mill	n/a	0.9591663070871758
21	2	Memorization	49	Office A	Donuts	n/a	1.0934149235837136
