subj	task_num	task	trial_num	scene	obj	obj_type	conf	rk_judg	rt_conf	rt_rkj
22	1	Memorization	1	Kitchen B	Microwave	Target	2	New	4.466970999725163	n/a
22	1	Memorization	2	Kitchen	Kitchen scales	New (Lure)	2	New	1.6728413999080658	n/a
22	1	Memorization	3	Office A	Encyclopedia	Target	6	Remember	1.2530295001342893	2.087920400314033
22	1	Memorization	4	Living room	Toy truck	New (Lure)	1	New	0.9560647998005152	n/a
22	1	Memorization	5	Bathroom	Cleaning agent	New (Lure)	2	New	2.8342841994017363	n/a
22	1	Memorization	6	Office	Air conditioner	New (Lure)	3	New	1.2747890995815396	n/a
22	1	Memorization	7	Bathroom A	Hair dryer	Target	3	New	0.8985423995181918	n/a
22	1	Memorization	8	Bathroom	Necklace	New (Lure)	2	New	0.7564987000077963	n/a
22	1	Memorization	9	Kitchen	Kitchen tools	New (Lure)	1	New	1.1009956998750567	n/a
22	1	Memorization	10	Kitchen B	Cutlery	Distractor	2	New	0.37403269950300455	n/a
22	1	Memorization	11	Bathroom A	Toilet paper	Target	4	Know	0.6116550005972385	2.103888500481844
22	1	Memorization	12	Living room	Ornaments	New (Lure)	2	New	0.4676990993320942	n/a
22	1	Memorization	13	Kitchen B	Coffee maker	Target	3	New	0.5161290997639298	n/a
22	1	Memorization	14	Office A	Fruit bowl	Distractor	2	New	0.38783290050923824	n/a
22	1	Memorization	15	Kitchen B	Buns	Target	6	Remember	0.5631210999563336	1.4239280996844172
22	1	Memorization	16	Bathroom A	Shampoo	Target	6	Remember	0.8754122005775571	1.1679167998954654
22	1	Memorization	17	Living room	Candy box	New (Lure)	2	New	0.8691507000476122	n/a
22	1	Memorization	18	Bathroom	Chest	New (Lure)	3	New	0.24078320059925318	n/a
22	1	Memorization	19	Bedroom B	Statue	Distractor	6	Remember	1.333763100206852	1.2320238007232547
22	1	Memorization	20	Kitchen B	Banana	Distractor	3	New	1.5152798993512988	n/a
22	1	Memorization	21	Office A	Calendar	Target	2	New	0.5164880994707346	n/a
22	1	Memorization	22	Kitchen B	Broom	Target	6	Remember	1.8228302001953125	1.2079469002783298
22	1	Memorization	23	Kitchen B	Corkscrew	Target	6	Remember	1.075449500232935	1.1359110996127129
22	1	Memorization	24	Living room A	Vases	Target	3	New	1.2350717997178435	n/a
22	1	Memorization	25	Living room	Toy bricks	New (Lure)	2	New	0.349681599996984	n/a
22	1	Memorization	26	Living room	Piece of cake	New (Lure)	2	New	0.4678304996341467	n/a
22	1	Memorization	27	Kitchen	Pretzel	New (Lure)	2	New	0.8324074000120163	n/a
22	1	Memorization	28	Bathroom A	Toothbrushes	Target	3	New	0.5479306997731328	n/a
22	1	Memorization	29	Office	Markers	New (Lure)	3	New	0.48588090017437935	n/a
22	1	Memorization	30	Living room A	Hat	Distractor	3	New	0.42047480028122663	n/a
22	1	Memorization	31	Bathroom A	Bathroom scales	Distractor	2	New	0.9629273004829884	n/a
22	1	Memorization	32	Bathroom	Spray bottle	New (Lure)	3	New	0.04602260049432516	n/a
22	1	Memorization	33	Office	Box files	New (Lure)	2	New	0.875929300673306	n/a
22	1	Memorization	34	Bedroom B	Horseshoe	Target	6	Remember	0.49966320022940636	1.7519648000597954
22	1	Memorization	35	Kitchen	Mortar	New (Lure)	3	New	0.6928697004914284	n/a
22	1	Memorization	36	Bedroom	Blanket	New (Lure)	1	New	0.4153392994776368	n/a
22	1	Memorization	37	Living room	Bells	New (Lure)	1	New	0.49989320058375597	n/a
22	1	Memorization	38	Kitchen B	Kitchen herbs	Target	6	Remember	1.165714300237596	0.7517715999856591
22	1	Memorization	39	Office	World map	New (Lure)	3	New	0.39671050012111664	n/a
22	1	Memorization	40	Kitchen B	Egg timer	Distractor	4	Know	0.8588247997686267	1.2479268005117774
22	1	Memorization	41	Bedroom B	Apple	Distractor	3	New	0.8577415002509952	n/a
22	1	Memorization	42	Kitchen	Bowl	New (Lure)	1	New	0.4527252996340394	n/a
22	1	Memorization	43	Kitchen B	Knife block	Distractor	1	New	2.9163421001285315	n/a
22	1	Memorization	44	Bathroom	Shaving mirror	New (Lure)	2	New	1.020524200052023	n/a
22	1	Memorization	45	Living room A	Tablet computer	Target	2	New	2.08103740029037	n/a
22	1	Memorization	46	Office	Table clock	New (Lure)	3	New	0.9476501001045108	n/a
22	1	Memorization	47	Living room	Robot vacuum	New (Lure)	2	New	0.49758549965918064	n/a
22	1	Memorization	48	Bathroom	Casket	New (Lure)	3	New	0.39937759935855865	n/a
22	1	Memorization	49	Bathroom	Magazine	New (Lure)	1	New	0.4766464000567794	n/a
22	1	Memorization	50	Office	Snow globe	New (Lure)	1	New	0.5650583999231458	n/a
22	1	Memorization	51	Office A	Scissors	Target	4	Know	1.283067800104618	1.408024499192834
22	1	Memorization	52	Office A	Tape dispenser	Target	5	Know	0.7725393995642662	0.9120196998119354
22	1	Memorization	53	Office	Umbrella	New (Lure)	2	New	0.9641233999282122	n/a
22	1	Memorization	54	Kitchen	Lucky cat	New (Lure)	1	New	0.596030100248754	n/a
22	1	Memorization	55	Bedroom B	Baseball bat	Target	6	Remember	0.707073200494051	2.207812400534749
22	1	Memorization	56	Kitchen B	Soup	Target	6	Remember	0.7551247999072075	1.3599271001294255
22	1	Memorization	57	Kitchen B	Pepper mill	Target	6	Remember	0.6109902998432517	1.231920599937439
22	1	Memorization	58	Office A	Calculator	Target	2	New	0.4184154001995921	n/a
22	1	Memorization	59	Living room	Stepper	New (Lure)	3	New	1.41291209962219	n/a
22	1	Memorization	60	Bedroom	Toy train	New (Lure)	3	New	0.7713941000401974	n/a
22	1	Memorization	61	Bedroom	Earphones	New (Lure)	3	New	0.5623834999278188	n/a
22	1	Memorization	62	Bedroom B	Camera	Target	4	Know	1.4988978998735547	1.7438711002469063
22	1	Memorization	63	Bedroom B	Trophy	Target	6	Remember	0.4023516997694969	0.9679155005142093
22	1	Memorization	64	Bathroom A	Toilet brush	Target	5	Remember	1.1073777992278337	0.919905399903655
22	1	Memorization	65	Living room A	Television	Target	2	New	0.3321730997413397	n/a
22	1	Memorization	66	Living room	Binoculars	New (Lure)	1	New	0.6752372002229095	n/a
22	1	Memorization	67	Bathroom A	Rubber duck	Target	6	Remember	0.35329260025173426	0.9199157999828458
22	1	Memorization	68	Bedroom B	Electric guitar	Distractor	4	Know	0.5901314001530409	0.7439094996079803
22	1	Memorization	69	Bathroom A	Slippers	Target	2	New	0.9272429998964071	n/a
22	1	Memorization	70	Bathroom A	Toothpaste	Target	4	Know	3.02878599986434	0.7038810001686215
22	1	Memorization	71	Bathroom A	Bath rug	Distractor	2	New	0.3482288997620344	n/a
22	1	Memorization	72	Bedroom	Mirror	New (Lure)	2	New	0.3132047997787595	n/a
22	1	Memorization	73	Bedroom B	Inhaler	Distractor	3	New	1.0202831998467445	n/a
22	1	Memorization	74	Bathroom	Thermometer	New (Lure)	1	New	2.5741831995546818	n/a
22	1	Memorization	75	Kitchen B	Pots	Target	4	Know	1.640803400427103	0.7199002001434565
22	1	Memorization	76	Living room A	Aquarium	Target	6	Remember	0.74519809987396	0.9678680002689362
22	1	Memorization	77	Office A	Newspaper	Target	6	Remember	0.909124500118196	0.9759099995717406
22	1	Memorization	78	Bathroom	Jewlery box	New (Lure)	3	New	0.5086011001840234	n/a
22	1	Memorization	79	Kitchen	Champagne	New (Lure)	2	New	0.5030594998970628	n/a
22	1	Memorization	80	Bathroom	Shower brush	New (Lure)	2	New	1.2740243002772331	n/a
22	1	Memorization	81	Bedroom B	Headphones	Target	6	Remember	1.029775899834931	0.7919188002124429
22	1	Memorization	82	Living room	Shoes	New (Lure)	2	New	0.782022500410676	n/a
22	1	Memorization	83	Bedroom	Decorative wood	New (Lure)	1	New	0.3400873001664877	n/a
22	1	Memorization	84	Bathroom A	Wall lamp	Distractor	1	New	0.7393903005868196	n/a
22	1	Memorization	85	Living room A	Remote control	Target	4	Know	0.7839475004002452	0.4479243000969291
