subj	task_num	task	trial_num	scene	obj	obj_type	conf	rk_judg	rt_conf	rt_rkj
17	1	Search	1	Office	Car key	New (Lure)	1	New	1.8686665995046496	n/a
17	1	Search	2	Bathroom A	Bathroom scales	Distractor	2	New	3.8819141006097198	n/a
17	1	Search	3	Bedroom A	Basketball	Target	4	Know	2.603646299801767	3.567707199603319
17	1	Search	4	Kitchen B	Egg timer	Distractor	2	New	1.500305499881506	n/a
17	1	Search	5	Bathroom	Bodywash	New (Lure)	1	New	0.17991149984300137	n/a
17	1	Search	6	Office	Drive	New (Lure)	1	New	0.5536329997703433	n/a
17	1	Search	7	Living room	Advent calendar	New (Lure)	1	New	1.3255416005849838	n/a
17	1	Search	8	Office A	Fruit bowl	Distractor	2	New	0.7339404001832008	n/a
17	1	Search	9	Living room A	Pot plant	Target	6	Remember	1.2129520000889897	6.967910800129175
17	1	Search	10	Bathroom A	Hair dryer	Target	6	Remember	0.187279699370265	1.3839426999911666
17	1	Search	11	Living room A	Tablet computer	Target	6	Remember	0.20398300047963858	1.4078436000272632
17	1	Search	12	Office	Cell phone	New (Lure)	1	New	1.259494099766016	n/a
17	1	Search	13	Office A	Calendar	Target	6	Remember	1.2534595001488924	1.2639033002778888
17	1	Search	14	Living room A	Rubik's Cube	Distractor	2	New	1.775382500141859	n/a
17	1	Search	15	Kitchen B	Turkey	Target	6	Remember	1.0844016000628471	1.1039330000057817
17	1	Search	16	Bathroom	Bucket	New (Lure)	2	New	2.005440599285066	n/a
17	1	Search	17	Bedroom A	Stool	Distractor	2	New	1.8852367997169495	n/a
17	1	Search	18	Kitchen	Bowl	New (Lure)	1	New	0.5818465994670987	n/a
17	1	Search	19	Office	Stapler	New (Lure)	3	New	0.7312075002118945	n/a
17	1	Search	20	Office A	Bonsai	Distractor	2	New	0.6193113001063466	n/a
17	1	Search	21	Kitchen B	Buns	Target	6	Remember	0.0887329000979662	1.743961600586772
17	1	Search	22	Office	Glue stick	New (Lure)	2	New	0.8997194999828935	n/a
17	1	Search	23	Bedroom	Toy blocks	New (Lure)	1	New	1.647307200357318	n/a
17	1	Search	24	Bathroom A	Incense sticks	Distractor	3	New	0.7166709993034601	n/a
17	1	Search	25	Living room	Binoculars	New (Lure)	2	New	0.3949000993743539	n/a
17	1	Search	26	Bedroom	Tealight	New (Lure)	1	New	0.9244643002748489	n/a
